ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11749761,JC339064,06/29/2019 12:01:00 AM,002XX W 91ST ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,TRUE,634,6,21,49,08B,1176499,1844613,2019,07/19/2019 04:09:50 PM,41.72896602,-87.62903146,"(41.728966017, -87.629031462)"
11753416,JC343458,07-10-2019 18:00,037XX W 79TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,DAY CARE CENTER,FALSE,FALSE,833,8,18,70,08B,1152846,1851977,2019,07/19/2019 04:09:50 PM,41.74967253,-87.71548507,"(41.749672534, -87.715485074)"
11750882,JC340429,07-08-2019 12:00,071XX S JEFFERY BLVD,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,333,3,5,43,20,1190785,1857807,2019,07/19/2019 04:09:50 PM,41.76483886,-87.57627388,"(41.764838855, -87.57627388)"
11751678,JC341405,06/27/2019 12:00:00 PM,030XX W 71ST ST,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,RESIDENCE,FALSE,TRUE,831,8,18,66,26,1157413,1857393,2019,07/19/2019 04:09:50 PM,41.76444367,-87.69860309,"(41.764443672, -87.698603085)"
11752816,JC342798,06-10-2019 17:00,041XX W WILCOX ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,1115,11,28,26,08B,1148780,1899013,2019,07/19/2019 04:09:50 PM,41.87882529,-87.72917301,"(41.878825285, -87.729173009)"
11902295,JC523748,11/25/2019 09:50:00 AM,005XX N STREETER DR,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,STREET,FALSE,TRUE,1834,18,42,8,20,1180763,1904089,2019,12-02-2019 15:56,41.89207621,-87.61158174,"(41.892076211, -87.611581737)"
11752835,JC342715,07-10-2019 10:00,075XX S HARVARD AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,623,6,6,69,20,1175373,1854974,2019,07/19/2019 04:09:50 PM,41.75742312,-87.63284729,"(41.757423116, -87.632847291)"
11754580,JC344949,07-09-2019 09:00,096XX S LOOMIS ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,2213,22,21,73,08B,1168723,1840783,2019,07/19/2019 04:09:50 PM,41.71862699,-87.65762692,"(41.718626992, -87.657626922)"
11754493,JC344709,07-08-2019 15:30,048XX W BARRY AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,TRUE,2521,25,31,19,08B,1143637,1920175,2019,07/19/2019 04:09:50 PM,41.93699391,-87.74752666,"(41.936993912, -87.747526661)"
11755213,JC345739,04-10-2019 00:01,015XX W JUNEWAY TER,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,FALSE,FALSE,2422,24,49,1,17,1164628,1951400,2019,07/19/2019 04:09:50 PM,42.02225685,-87.66949226,"(42.022256852, -87.669492258)"
11754937,JC337401,07-06-2019 12:20,102XX S WESTERN AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,PARKING LOT/GARAGE(NON.RESID.),FALSE,TRUE,2213,22,19,72,20,1162195,1836645,2019,07/19/2019 04:09:50 PM,41.70740973,-87.68165154,"(41.707409734, -87.681651536)"
11754599,JC344944,07-11-2019 19:00,001XX N HARBOR DR,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,RESIDENCE,FALSE,TRUE,114,1,42,32,26,1179643,1901697,2019,07/19/2019 04:09:50 PM,41.88553823,-87.61576842,"(41.885538232, -87.615768415)"
11754396,JC344847,07-11-2019 08:00,032XX W MADISON ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,FALSE,FALSE,1123,11,28,27,20,1154883,1899837,2019,07/19/2019 04:09:50 PM,41.88096635,-87.70674175,"(41.880966348, -87.706741745)"
11755573,JC346107,07-12-2019 15:30,070XX S CLYDE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,FALSE,FALSE,331,3,5,43,20,1191429,1858698,2019,07/19/2019 04:22:44 PM,41.76726825,-87.57388465,"(41.767268251, -87.573884646)"
11904352,JC526288,11/25/2019 08:01:00 AM,062XX S INGLESIDE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,FALSE,FALSE,313,3,20,42,20,1183522,1863840,2019,12-02-2019 15:56,41.7815663,-87.60270662,"(41.781566303, -87.602706616)"
11757130,JC342801,07-05-2019 12:30,056XX N ST LOUIS AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,1711,17,39,13,08B,1152034,1937175,2019,07/19/2019 04:09:50 PM,41.98348147,-87.71621629,"(41.983481469, -87.71621629)"
11755712,JC346275,07-10-2019 23:00,061XX S DREXEL AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,APARTMENT,FALSE,TRUE,313,3,20,42,26,1183066,1864341,2019,07/19/2019 04:09:50 PM,41.78295171,-87.60436283,"(41.782951712, -87.604362828)"
11792084,JC389561,08-12-2019 14:40,030XX N KIMBALL AVE,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,SIDEWALK,FALSE,FALSE,1412,14,35,21,26,1153202,1919843,2019,08/19/2019 04:24:12 PM,41.93589814,-87.71238249,"(41.935898143, -87.712382494)"
